Deskripsi_Kejadian,Jenis_Bullying
"dipukul, disundut dengan rokok, disundut pakai korek api yang sudah dipanaskan ujungnya, dicekik, kemudian korban diikat ke sebuah tiang.",Fisik
"Ketika saya jajan, saya dibuat jatuh oleh pelaku dengan sengaja menjulurkan kakinya hingga korban mengalami luka di kaki dan tangannya. Setelah itu korban diolok olok oleh temen - temennya yang lain.",Fisik
"Ketika korban sedang mengikuti lomba kemerdekaan, ia tiba tiba ditarik oleh kakak kelasnya dan dibawa kesebuah lorong diantara ruang guru dan pagar sekolah, ia dipaksa untuk memberikan uang jajannya korban menolak, dan pelaku menusuk mata kanan korban. ",Fisik
"Memberikan korban pukulan hingga menendang, sembari memaki korban menggunakan bahasa kasar, dan mengancamnya agar tidak memberi tahu siapapun kejadian tersebut.",Fisik
2 pelaku memegangi kaki kucing. Kemudian pakaian si anak dilucuti lalu dipaksa berhubungan badan dengan hewan tersebut. Kemudian korban ditertawakan,Seksual
"Dipukul, ditendang, karena korban mengaku masuk ke geng lain.",Fisik
Korban diperkosa dan dipaksa berhubungan sesama jenis (LGBT).,Seksual
"Terjadi di pondok pesantren. Pelaku mengarahkan setrika uap yang dalam keadaan panas ke arah wajah korban. Korban melawan, kemudian pelaku menempelkan setrika yang ia pegang ke dada kiri korban hingga melepuh.",Fisik
"rambutnya dijambak, disiram air, tubuhnya diinjak hingga kepalanya dibenturkan ke aspal. ",Fisik
"Kemaluan korban dipegang-pegang. Korban disuruh buka celana dan nungging, kemudian pelaku melakukan tindakan tidak senonoh ke korban",Seksual
Korban hendak pergi ke masjid sekolah untuk salat zuhur. Tiba-tiba ada temannya yang menutupi wajah korban menggunakan sajadah. Tangan korban diikat dan dipukul para pelaku. Hingga akhirnya korban meninggal akibat kelainan usus karena mendapati kekerasan fisik tersebut.,Fisik
"Korban dikeroyok oleh 6 pelaku, hingga korban mengalami trauma berat.",Fisik
Pelaku memukul korban dan menendang berkali-kali hingga terjatuh.,Fisik
Korban dipukul dan kepalanya ditendang serta dismackdown,Fisik
"Korban didorong hingga terjatuh, diseret, dan bagian dada ditusuk dengan 2 jari hingga membekas.",Fisik
Korban dibanting dan ditendang berkali kali dibagian perut,Fisik
"Korban dipukul pada bagian kepala, wajah, mata, dan badan",Fisik
Saya dipasangkan helm oleh pelaku kemudian kepala saya ditendang secara bergantian oleh teman temannya.,Fisik
Saya dituduh melakukan suap agar nilai saya selalu tinggi oleh guru dan teman teman saya.,Psikis
"Saya kerap dipanggil dengan nama orang tua saya, dan karya saya selalu tidak dihargai.",Psikis
Seorang anak sd ditertawakan oleh guru dan teman temannya karena membawa bekal ulat sagu.,Psikis
Korban sering diejek anak yatim oleh temannya hingga merasa kesal,Psikis
"Korban dijambak, diludahi, disiram air, disekap dikelas karena tidak mau mengganti jam dinding yang pecah seharga 300k.",Fisik
Sekolah memaksa siswinya menggunakan jilbab.,Bukan Bullying
korban diangkat beramai-ramai kemudian dibanting di atas lantai paving,Fisik
Pelaku memukul dan menendang adik kelasnya yang disabilitas.,Fisik
"Korban dipaksa melakukan hubungan badan, jika tidak maka nilainya akan jelek ",Seksual
"Saat itu korban datang untuk meminta tanda tangan menyelesaikan skripsi pada pelaku. Namun, pelaku memanfaatkan situasi yang sepi untuk melakukan pelecehan seksual terhadap korban.",Seksual
Saya dipaksa guru saya untuk membersihkan toilet karena tidak mengerjakan pr. ,Bukan Bullying
Saya dimarahi guru saya karena bolos sekolah.,Bukan Bullying
Saya kena hukum berdiri ditiang bendera karena tidak mengerjakan pr.,Bukan Bullying
Saya selalu beli siomay setiap jam istirahat,Bukan Bullying
Saya mengerjakan pr kemarin malam,Bukan Bullying
Saya mendapatkan apresiasi karena menjuarai olimpiade,Bukan Bullying
